Date,Weight (lb)
2019-07-01,151.0
2019-07-02,151.4
2019-07-03,153.0
2019-07-04,151.1
2019-07-05,155.1
2019-07-06,153.2
2019-07-07,154.3
2019-07-08,151.2
2019-07-09,152.0
2019-07-10,151.9
2019-07-11,152.6
2019-07-12,150.3
2019-07-13,152.3
2019-07-14,152.4
2019-07-15,153.4
2019-07-16,152.8
2019-07-17,151.9
2019-07-18,152.0
2019-07-19,149.8
2019-07-20,151.7
2019-07-21,152.6
2019-07-22,152.7
2019-07-23,151.0
2019-07-24,149.8
2019-07-25,153.4
2019-07-26,151.8
2019-07-29,152.8
2019-07-30,151.0
2019-07-31,151.2
2019-08-01,150.9
2019-08-02,150.8
2019-08-06,153.2
2019-08-07,152.2
2019-08-10,155.6
2019-08-24,152.0
2019-08-26,153.9
2019-08-27,154.9
2019-08-28,154.1
2019-08-29,153.1
2019-09-02,155.4
2019-09-03,153.0
2019-09-04,153.9
2019-09-06,154.9
2019-09-07,156.3
2019-09-10,153.1
2019-09-11,152.7
2019-09-19,155.6
2019-09-20,156.3
2019-09-21,155.7
2019-09-23,156.1
2019-09-24,153.9
2019-09-25,155.7
2019-09-26,154.8
2019-09-27,152.9
2019-09-28,151.9
2019-09-29,155.7
2019-09-30,154.3
